file_path,uncertainty_score,diversity_score,recommended_reason
active_learner\data\sample_unlabeled.csv,0.10898123681545258,0.485781192779541,多样性主导
active_learner\data\sample_unlabeled.csv,0.10222599655389786,0.4549036920070648,多样性主导
active_learner\data\sample_unlabeled.csv,0.09415572136640549,0.5492706298828125,多样性主导
active_learner\data\sample_unlabeled.csv,0.0879611000418663,0.4730985462665558,多样性主导
active_learner\data\sample_unlabeled.csv,0.07787097990512848,0.481448233127594,多样性主导
active_learner\data\sample_unlabeled.csv,0.07610487192869186,0.5492706298828125,多样性主导
active_learner\data\sample_unlabeled.csv,0.07241648435592651,0.5452123880386353,多样性主导
active_learner\data\sample_unlabeled.csv,0.06846359372138977,1.0,高多样性
active_learner\data\sample_unlabeled.csv,0.06657476723194122,1.0,高多样性
active_learner\data\sample_unlabeled.csv,0.04987093433737755,1.0,高多样性
