file_path,uncertainty_score,diversity_score,recommended_reason
data\sample_unlabeled.csv:16,0.10898123681545258,1.0,高多样性
data\sample_unlabeled.csv:11,0.10222599655389786,1.0,高多样性
data\sample_unlabeled.csv:10,0.09415572136640549,1.0,高多样性
data\sample_unlabeled.csv:19,0.0879611000418663,1.0,高多样性
data\sample_unlabeled.csv:6,0.07787097990512848,1.0,高多样性
data\sample_unlabeled.csv:2,0.07780962437391281,1.0,高多样性
data\sample_unlabeled.csv:14,0.07610487192869186,1.0,高多样性
data\sample_unlabeled.csv:3,0.07241648435592651,1.0,高多样性
data\sample_unlabeled.csv:15,0.06846359372138977,1.0,高多样性
data\sample_unlabeled.csv:4,0.06657476723194122,1.0,高多样性
data\sample_unlabeled.csv:17,0.066019706428051,1.0,高多样性
data\sample_unlabeled.csv:13,0.059759415686130524,1.0,高多样性
data\sample_unlabeled.csv:12,0.05421982333064079,1.0,高多样性
data\sample_unlabeled.csv:5,0.0540955476462841,1.0,高多样性
data\sample_unlabeled.csv:8,0.05303298309445381,1.0,高多样性
data\sample_unlabeled.csv:20,0.051684677600860596,1.0,高多样性
data\sample_unlabeled.csv:7,0.04987093433737755,1.0,高多样性
data\sample_unlabeled.csv:9,0.04298530891537666,1.0,高多样性
data\sample_unlabeled.csv:18,0.039041195064783096,1.0,高多样性
data\sample_unlabeled.csv:21,0.032309021800756454,1.0,高多样性
